OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-01-01T00:00:00,2024-01-31T23:59:59,Month,2025-01,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,223804,277823,189471,151966,96095
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-01-01T00:00:00,2024-01-31T23:59:59,Month,2025-01,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,259052,371613,239943,192552,116239
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-01-01T00:00:00,2024-01-31T23:59:59,Month,2025-01,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,207999,286237,183256,143039,91213
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2023-12-01T00:00:00,2023-12-31T23:59:59,Month,2024-12,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,219673,298553,198341,158114,104674
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2023-12-01T00:00:00,2023-12-31T23:59:59,Month,2024-12,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,185252,253876,166410,127892,78448
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2023-12-01T00:00:00,2023-12-31T23:59:59,Month,2024-12,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,222165,287243,192737,152360,101337
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2023-12-01T00:00:00,2023-12-31T23:59:59,Month,2024-12,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,180327,299801,199170,154329,107782
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2023-12-01T00:00:00,2023-12-31T23:59:59,Month,2024-12,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,233864,296880,197862,163897,117933
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2023-12-01T00:00:00,2023-12-31T23:59:59,Month,2024-12,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,229642,285452,193527,156250,99899
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2023-12-01T00:00:00,2023-12-31T23:59:59,Month,2024-12,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,257727,370193,237966,191457,116455
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2023-12-01T00:00:00,2023-12-31T23:59:59,Month,2024-12,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,209436,288407,183921,144230,93026
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2023-11-01T00:00:00,2023-11-30T23:59:59,Month,2024-11,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,218406,297178,196687,157253,104371
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2023-11-01T00:00:00,2023-11-30T23:59:59,Month,2024-11,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,185009,253641,165878,127821,78669
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2023-11-01T00:00:00,2023-11-30T23:59:59,Month,2024-11,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,219567,284097,190191,150469,100386
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2023-11-01T00:00:00,2023-11-30T23:59:59,Month,2024-11,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,179529,298651,198018,153734,107412
